"MSA","Perc_Tree_min","Perc_Grass_min","Perc_Other_min","Perc_Water_min","NP_T_min","MPA_T_min","CV_T_min","PAratio_T_min","NP_G_min","MPA_G_min","CV_G_min","PAratio_G_min","Perc_Tree_max","Perc_Grass_max","Perc_Other_max","Perc_Water_max","NP_T_max","MPA_T_max","CV_T_max","PAratio_T_max","NP_G_max","MPA_G_max","CV_G_max","PAratio_G_max","Perc_Tree_mean","Perc_Grass_mean","Perc_Other_mean","Perc_Water_mean","NP_T_mean","MPA_T_mean","CV_T_mean","PAratio_T_mean","NP_G_mean","MPA_G_mean","CV_G_mean","PAratio_G_mean","Perc_Tree_sd","Perc_Grass_sd","Perc_Other_sd","Perc_Water_sd","NP_T_sd","MPA_T_sd","CV_T_sd","PAratio_T_sd","NP_G_sd","MPA_G_sd","CV_G_sd","PAratio_G_sd"
"BAL",0,0,0,0,0,0,0,0,0,0,0,0,87.6637517665,77.8761334667,89.4533431886,21.595519082,7615,2.65080964603,6353.71083109,52909.3881177,6999,2.50761545669,2262.30468549,24295.8797831,43.7090030761508,29.4352367507636,25.0138213971467,0.682035474762007,1096.1635883905,0.172366790071151,1440.93712315899,8536.42804737135,1008.81398416887,0.152156594455878,562.393072432081,9088.68196847541,15.3357566300654,13.5435407321166,16.3172042891966,2.05629908003231,1240.09936838985,0.196090578307775,1087.25478961003,2746.75959335545,890.852064758066,0.294760977614823,351.251444311269,2425.02669759877
"BOS",4.64177177682,0.620428198053,0.949996114141,0,16,0.0117186057158,110.228954879,4650.18551473,9,0.00168571428571,63.8432746562,8675.59814505,90.2161901565,73.4886428549,90.4535137944,50.0780110406,8620,5.17705757552,7471.96013849,19511.9894494,21478,0.311023339918,5581.54965398,25509.6052046,48.7228819350773,18.4055213342601,30.1349848074546,2.61731619992819,557.139980824545,0.2560523130016,1220.05581489419,7531.75856573822,1821.09012464046,0.0260099779159763,587.932493131659,15853.7983743647,17.5629620913348,7.45739713876185,19.4534778531634,5.82347722924264,700.167766818601,0.353955211401329,1015.87930031349,1607.1449309103,2085.66116581472,0.0275521697234996,474.892169778816,4647.54972007824
"LAX",0,4.85561261569,4.41820168713,0,0,0,0,0,1,0.0233654898853,0,622.174061027,40.5157713514,90.167312033,91.9145450605,47.4824381856,45935,0.287617946927,2117.76880778,16783.3548998,72411,16.5798903409,4982.83779237,50160.2928496,9.8084784245104,40.1825163000393,49.0452295973727,0.708718886685951,506.145290581162,0.0455084422676896,189.367700406146,4707.88835702956,717.891783567134,0.29359639042351,546.210534769725,4650.04939911519,7.07255504212376,12.4034932536947,13.0891744851999,2.41654064982033,2214.07813907972,0.0294109180645532,167.309997727663,712.513235529588,3473.10033343278,0.88032130942861,590.7095665977,1806.57810271142
"MIA",1.90299049904,5.82922074708,1.16711122398,0,32,0.0090336650093,91.2697678212,4269.89423291,36,0.011304122169,86.8821454683,4013.69475832,73.5438215212,72.90010599,82.5808989137,50.6062835655,185318,0.703747613227,4993.33357389,7603.06225822,175256,1.94741884092,5775.86824858,10002.9032194,18.5634984442443,29.9695329180819,42.3629767833449,6.50003826132467,1461.61448900388,0.0550502297833821,440.753684464418,5290.70793617957,1317.71668822768,0.0891791866738158,573.808701201387,5262.52090691448,10.070369584329,12.0990329509367,16.6390507480781,7.03411427586615,9634.36909044271,0.0535618312207745,495.771323608641,415.048115642998,6969.86958800346,0.155422662570087,664.374001715674,556.969707921308
"MSP",0,0.00161671602168,0.00811942087545,0,0,0,0,5841.96444343,8,0.000418558474857,70.1578586194,5052.02976322,56.6911667366,90.2248434476,77.0612068316,65.0837142629,49722,0.416463824275,3847.46424322,160584.486884,7513,8.99095019059,3364.43821533,103416.918711,22.4849831479329,44.2017610913865,29.1126146494368,3.70541533036136,2346.76591154261,0.0466516120140992,602.0281250417,8675.03704229114,617.550161812298,0.493244632331325,713.259884158494,8343.26500728718,9.7224656250391,14.7090826413827,14.5421859444612,7.6044924431777,4324.49197183598,0.0370949639861629,511.250831910454,5707.46143697613,748.182071355577,0.946226347760281,527.805332868618,5117.95981292791
"PHX",0,0,0,0,0,0,0,0,0,0,0,0,27.8491718826,62.4147423066,98.3989274574,15.7116504906,251113,0.161341617741,2329.89548928,649711.622396,1967627,0.125246694356,13322.475235,4353409.04811,9.49055547133218,11.1582451062994,73.4277162945351,0.609212286806714,9021.75778078484,0.00288366377950542,348.887719980315,27828.1986239604,31986.899864682,0.00262646162725552,1524.0059532228,38063.4044957291,6.03014148191026,8.46831379126491,20.6863912884429,1.64974722484419,21516.813531885,0.00676634322598662,227.319345238137,36260.4453471286,163988.071485562,0.00764749641070329,1925.03332550299,162459.55291473
